,customer_id,age,income,became_member_on,membership_days,gender_female,gender_male,gender_other,gender,time,amount,reward,offer_count,event_completed,event_received,event_viewed,event_transaction,difficulty,duration,channel_email,channel_mobile,channel_social,channel_web,offer_bogo,offer_discount,offer_informational
0,0009655768c64bdeb2e877511632db8f,33,72000.0,2017,1662,0,1,0,M,470.7,127.6,9.0,12,3,5,4,8,5.416666666666667,6.083333333333333,12.0,12.0,8.0,10.0,3.0,5.0,4.0
1,0011e0d4e6b944f998e987f904e8c1e5,40,57000.0,2018,1399,0,0,1,O,365.0,79.46000000000001,13.0,13,3,5,5,5,7.384615384615385,6.615384615384615,13.0,10.0,5.0,11.0,3.0,6.0,4.0
2,0020c2b971eb4e9188eac86d93036a77,59,90000.0,2016,2075,1,0,0,F,335.6842105263158,196.86,14.0,11,3,5,3,8,8.181818181818182,7.090909090909091,11.0,11.0,11.0,8.0,4.0,5.0,2.0
3,0020ccbbb6d84e358d3414a3ff76cffd,24,60000.0,2016,1823,1,0,0,F,374.8695652173913,154.04999999999998,13.0,11,3,4,4,12,4.636363636363637,5.7272727272727275,11.0,11.0,8.0,9.0,6.0,3.0,2.0
4,003d66b6608740288d6cc97a6903f4f0,26,73000.0,2017,1601,1,0,0,F,390.6,48.34000000000001,9.0,12,3,5,4,18,8.333333333333334,7.833333333333333,12.0,10.0,8.0,10.0,0.0,8.0,4.0
5,00426fe3ffde4c6b9cb9ad6d077a13ea,19,65000.0,2016,1917,1,0,0,F,260.16,68.50999999999999,2.0,8,1,5,2,17,8.75,7.5,8.0,7.0,5.0,6.0,0.0,6.0,2.0
6,004b041fbfe44859945daa2c7f79ee64,55,74000.0,2018,1280,1,0,0,F,456.0,138.36,7.0,7,2,3,2,6,6.428571428571429,7.0,7.0,7.0,6.0,7.0,3.0,3.0,1.0
7,004c5799adbf42868b9cff0396190900,54,99000.0,2016,2048,0,1,0,M,433.38461538461536,347.37999999999994,24.0,14,5,5,4,12,7.857142857142857,7.428571428571429,14.0,14.0,14.0,12.0,8.0,6.0,0.0
8,005500a7188546ff8a767329a2f7c76a,56,47000.0,2017,1430,0,1,0,M,361.38461538461536,20.360000000000003,5.0,9,1,5,3,4,8.88888888888889,7.0,9.0,9.0,6.0,3.0,8.0,1.0,0.0
9,0056df74b63b4298809f0b375a304cf4,54,91000.0,2016,1905,0,1,0,M,411.2,144.14,13.0,10,3,4,3,5,7.6,7.0,10.0,8.0,3.0,10.0,3.0,5.0,2.0
10,00715b6e55c3431cb56ff7307eb19675,58,119000.0,2017,1432,1,0,0,F,310.9655172413793,375.11999999999995,32.0,14,5,6,3,15,12.857142857142858,7.571428571428571,14.0,9.0,5.0,11.0,5.0,8.0,1.0
11,0082fd87c18f45f2be70dbcbb0fb8aad,28,68000.0,2017,1522,1,0,0,F,339.6666666666667,121.85,10.0,11,2,5,4,7,2.272727272727273,5.181818181818182,11.0,11.0,2.0,9.0,5.0,0.0,6.0
